,AttackID,Date,Location,Narration,Status,lat,lon
143,018-19,2019-02-11 02:40:00+08:00,"Caofeidian Anchorage, China.","Duty officer onboard an anchored bulk carrier noticed from the bridge wing a hose connected from an opened DO tank manhole to a small unlit barge alongside the ship. Alarm raised, and duty AB instructed to investigate. Hearing the alarm, the duty officer noticed a robber lowering the hose and escaping in the barge. On sounding the tank, it was reported that DO had been stolen. Incident reported to VTS Caofeidian.",Boarded,38.866665000000005,118.7
146,015-19,2019-02-06 05:05:00+07:00,"Belawan Anchorage, Indonesia.","Duty crew on routine rounds onboard an anchored tanker noticed a robber escaping via the hawse pipe and raised the alarm. Crew mustered and on searching the vessel, ship",Boarded,3.9177777999999996,98.78333
147,014-19,2019-02-03 22:00:00+05:30,"Oil Jetty No.4, Kandla Port, India.","The chief officer on routine rounds onboard a berthed tanker noticed a boat under the forecastle and notified the other deck crew. Seeing the alerted crew, the boat moved away. On inspection it was noticed that a store room had been broken into, but nothing reported stolen. Port Authorities notified.",Boarded,23.03689,70.22291
148,013-19,2019-01-30 00:55:00+08:00,"Jingtang Anchorage, China.","Duty crew onboard an anchored ore carrier noticed an unlit barge alongside and raised the alarm. Two robbers wearing masks were seen lowering hoses and escaping from the quarter deck. On searching the ship, oil stains were noticed near the MDO tank sounding pipe. All tanks were sounded. Nothing reported stolen. VTS informed.",Boarded,38.866665000000005,119.183334
155,006-19,2019-01-11 05:00:00+07:00,"Ciwandan Anchorage, Indonesia.","During routine rounds, duty crew onboard an anchored cargo vessel noticed the lock to the Engine store broken and ship",Boarded,-6.0107610000000005,105.9508
156,005-19,2019-01-12 04:30:00+08:00,"Caofeidian Anchorage, China.","Two robbers, armed with a steel bar, boarded an anchored bulk carrier.  Duty crew noticed the robbers and raised the alarm. Hearing the alerted crew, the robbers escaped without stealing anything. Incident reported to port authorities.",Boarded,38.9,118.6
171,184-20,2020-12-12 18:50:00+06:00,"Around 10nm West of Matarbari, Bangladesh.","Ten robbers armed with knives in two small boats approached and boarded a tug towing a ship, stole ship",Boarded,21.668888,91.701385
174,181-20,2020-12-15 04:00:00+07:00,"Lubuk Gaung Port, Dumai, Indonesia.","During routine rounds, duty officer onboard a berthed bulk carrier was taken hostage and tied up by four robbers armed with knives. The robbers stole ship",Boarded,1.7519444,101.38306
184,171-20,2020-11-30 05:20:00+07:00,Singapore Straits.,"Unnoticed, robbers boarded a bulk carrier underway, stole ship",Boarded,1.2677778,104.263885
189,166-20,2020-11-25 04:15:00+07:00,"Dumai Anchorage, Indonesia.",Four robbers armed with knives boarded an anchored tanker. Duty oiler on routine rounds was threatened by the robbers before escaping with stolen engine spares. Incident reported to local authorities through local agent.,Boarded,1.7152778000000002,101.44111
