lat,lon,Status,AttackID,Location,Narration,Date
1.2686111,104.174446,Boarded,017-20,Singapore Straits.,"Duty crew onboard a product tanker underway noticed an unauthorised person in the engine room. Alarm raised, crew mustered, and incident reported to Singapore VTIS. On searching the vessel it was noticed that ship",2020-02-09 01:30:00+07:00
5.141667,2.2972221,Boarded,016-20,"Around 73nm South of Cotonou, Benin.","Two pirates armed with AK47 rifles in a boat approached and boarded a drifting container ship. Alarm raised, deck lights switched off, accommodation locked down and engines started and headed towards Tema. Ghana navy was notified and requested to board to search the vessel on arrival. All crew safe. Nothing reported stolen.",2020-01-19 20:10:00+00:00
6.2519445,3.3169444,Boarded,015-20,"Lagos Anchorage, Nigeria.","Two robbers in a boat boarded an anchored tanker. They tried to seize the duty AB on routine rounds, who managed to escape. Alarm raised. Hearing the alerted crew, the robbers escaped without stealing anything. Incident reported to Nigerian Navy. A patrol boat was dispatched to the location.",2020-02-01 02:30:00+01:00
1.0747222,103.91055,Boarded,014-20,"Around 0.4nm SW of PT Dharma Sentosa Marindo Yard, Pulau Batam, Indonesia.",Alert crew onboard a tug moored to a buoy noticed three robbers on deck and raised the alarm. The crew confronted the robbers who were able to escape with the assistance of two of their accomplices waiting in their boat. Incident reported to the police who boarded the tug for investigations. A search was carried out. It was noticed the padlock to the storeroom was damaged and ship,2020-02-03 04:20:00+07:00
1.0841056,104.1458,Boarded,013-20,"Pulau Batam, Indonesia.","While anchored, a product tanker was boarded by two robbers. While they were stealing ship",2020-01-21 04:45:00+07:00
4.683889,7.151111,Boarded,012-20,"Onne Port, Nigeria.","Duty AB onboard a berthed offshore supply vessel noticed an unauthorised person on deck. Alarm raised and hearing the alerted crew, the person escaped with stolen ship",2020-01-29 04:00:00+01:00
-12.25,-77.183334,Boarded,011-20,"Callao Anchorage, Peru.","Two unauthorised persons from two skiffs came alongside and boarded an anchored tanker. Duty watchman on security rounds noticed the persons on the forecastle deck. Alarm raised and crew mustered. Seeing the alerted crew, the persons jumped overboard and escaped. Port Authorities notified. Nothing reported stolen.",2020-01-28 03:18:00-05:00
10.317223,-75.52805,Boarded,010-20,"Cartagena Anchorage, Colombia.",Two robbers armed with a machete were seen on the forecastle of  an anchored tanker. Alarm raised and crew mustered. Seeing the alerted crew the robbers escaped. Incident reported to the Coast Guard who board the vessel. Nothing was reported stolen.,2020-01-19 00:00:00-05:00
6.2919445,3.331389,Boarded,009-20,"Lagos Anchorage, Nigeria.","Duty crew onboard an anchored tanker carrying out STS operations noticed an unauthorised person near the forecastle. Alarm sounded. Seeing the alerted crew the person jumped overboard and escaped with his accomplices in a wooden boat. A naval patrol boat arrived at the location, searched the waters around the tanker and remained close to the tanker until daybreak. Nothing reported stolen. Crew and vessel safe.",2020-01-25 01:50:00+01:00
3.9469445,98.75667,Boarded,008-20,"Belawan Anchorage, Indonesia.","Deck watchmen on routine rounds onboard an anchored tanker noticed the forward storeroom broken into and ships properties missing. On searching the area, footsteps were noticed on the forecastle and it was assumed that the thieves gained access via the anchor chain.",2020-01-26 10:24:00+07:00
6.293459,3.317871,Attempted,007-20,Nigeria.,"Robbers in a small boat approached an anchored tanker during STS cargo operations. Two of the robbers attempted to board the tanker via the anchor chain. Duty crew on routine rounds noticed the robbers and raised the alarm. Crew mustered and patrol boat informed. Seeing the alerted crew, the robbers aborted the attempted boarding and escaped in their boat. Authorities notified.",2020-01-17 13:00:00+01:00
21.403334,72.287224,Boarded,006-20,"Alang Anchorage, India.","While anchored, persons in a small boat approached and boarded a barge, stole some scrap metal and escaped. Master noticed the persons and reported the incident to the Authorities who managed to apprehend the thieves.",2020-01-07 07:00:00+05:30
5.4868183,119.07875,Boarded,004-20,"Lahad Datu, Malaysia.",A fishing vessel was attacked by six armed persons in a grey coloured speed boat. Malaysian Authorities managed to locate and intercept the fishing vessel. Three crews were found safe on the vessel. The remaining five crews were reported kidnapped.,2020-01-16 20:00:00+08:00
3.6333334,6.67,Fired Upon,003-20,"Around 52nm SW of Bonny, Nigeria.",Five armed pirates in a small craft approached a tanker underway. Alarm raised and evasive manoeuvres commenced. Armed security team onboard the tanker fired warning shots resulting in the pirates returning fire and then aborting the approach and moving away.,2020-01-16 20:57:00+00:00
4.1,5.7480555,Fired Upon,002-20,"Around 19nm SW of Bayelsa, Nigeria.",Around 15 armed persons in a speed boat chased and fired upon a container vessel underway. Alarm raised and the non,2020-01-21 08:35:00+00:00
-14.369166,40.71528,Boarded,001-20,"Nacala Anchorage, Mozambique.",Duty watchman during rounds on deck noticed two robbers armed with long knives approaching him. He immediately informed the duty officer who raised the alarm and alerted other crew. Upon inspection it was discovered that a mooring rope was missing from the forward store.,2020-01-13 02:04:00+02:00
