lat,lon,AttackID,Vessel,Status,Location,Narration,Date
3.9177778,98.78333,015-19,Chemical Tanker,Boarded,"Belawan Anchorage, Indonesia.","Duty crew on routine rounds onboard an anchored tanker noticed a robber escaping via the hawse pipe and raised the alarm. Crew mustered and on searching the vessel, ship",2019-02-06 05:05:00+07:00
23.03689,70.22291,014-19,Product Tanker,Boarded,"Oil Jetty No.4, Kandla Port, India.","The chief officer on routine rounds onboard a berthed tanker noticed a boat under the forecastle and notified the other deck crew. Seeing the alerted crew, the boat moved away. On inspection it was noticed that a store room had been broken into, but nothing reported stolen. Port Authorities notified.",2019-02-03 22:00:00+05:30
38.866665,119.183334,013-19,Ore Carrier,Boarded,"Jingtang Anchorage, China.","Duty crew onboard an anchored ore carrier noticed an unlit barge alongside and raised the alarm. Two robbers wearing masks were seen lowering hoses and escaping from the quarter deck. On searching the ship, oil stains were noticed near the MDO tank sounding pipe. All tanks were sounded. Nothing reported stolen. VTS informed.",2019-01-30 00:55:00+08:00
5.2,-4.0333333,012-19,Product Tanker,Boarded,"Abidjan Anchorage, Ivory Coast.",Two robbers armed with long knives boarded an anchored product tanker. Duty OS on routine rounds noticed a ladder hooked to the ship,2019-01-19 22:40:00+00:00
3.0333333,6.0833335,011-19,Tanker,Fired Upon,"Around 76 NM SSW of Brass, Nigeria.","Around seven to eight armed pirates in a skiff chased, fired upon and tried to board a tanker underway. General alarm raised, non",2019-01-25 15:30:00+00:00
3.7166667,6.1666665,010-19,Product Tanker,Fired Upon,"Around 35NM South of Brass, Nigeria.","A product tanker was fired upon while underway. General alarm raised, non",2019-01-24 19:35:00+00:00
3.5355556,6.185,009-19,Bulk Carrier,Fired Upon,"Around 45nm South of Brass, Nigeria.","Around five to seven armed pirates in a skiff chased and fired upon a bulk carrier underway. General alarm raised, deck lights switched on, speed increased and crew mustered in citadel. Armed guards onboard the vessel managed to repel the attempted attack.",2019-01-25 00:15:00+00:00
10.195,-64.78833,008-19,Tanker,Boarded,"Puerto Jose Anchorage, Venezuela.",Unnoticed robbers boarded an anchored tanker. They stole ship,2019-01-16 23:40:00-04:00
5.4666667,2.35,007-19,Container,Boarded,"Around 55nm South of Cotonou, Benin.",Armed pirates attack and boarded a container ship underway. Six crew members reported kidnapped. The remaining crew sailed the ship to a safe port. Owners confirmed all kidnapped crew released safely on 01.02.2019.,2019-01-02 00:01:00+00:00
-6.010761,105.9508,006-19,General Cargo,Boarded,"Ciwandan Anchorage, Indonesia.","During routine rounds, duty crew onboard an anchored cargo vessel noticed the lock to the Engine store broken and ship",2019-01-11 05:00:00+07:00
38.9,118.6,005-19,Bulk Carrier,Boarded,"Caofeidian Anchorage, China.","Two robbers, armed with a steel bar, boarded an anchored bulk carrier.  Duty crew noticed the robbers and raised the alarm. Hearing the alerted crew, the robbers escaped without stealing anything. Incident reported to port authorities.",2019-01-12 04:30:00+08:00
6.266667,3.3333333,003-19,Tanker,Boarded,"Lagos STS Anchorage, Nigeria.",Two robbers with plastic hoses boarded an anchored tanker during STS operations. They connected the hoses to the ullage ports of the forward cargo tanks and attempted to steal cargo. Duty crew noticed the robbers and raised the alarm resulting in the robbers escaping. The incident was immediately reported to the Nigerian Navy patrol boat who came to the location and carried out a check on the surrounding waters. Nothing reported stolen.,2019-01-07 04:20:00+01:00
10.316944,-75.5175,002-19,Container,Boarded,"Mamonal Anchorage, Colombia.","Deck watchmen onboard an anchored container vessel noticed three robbers near the forecastle and informed the duty officer. Alarm raised, crew mustered inside the accommodation and all doors were locked from inside. Master reported the incident to the coast guard and requested assistance. A coast guard boat arrived and searched the waters around the vessel. Ship",2019-01-02 22:28:00-05:00
10.266666,-64.7,001-19,Tanker,Attempted,"Puerto La Cruz Anchorage, Venezuela.",Duty crew onboard an anchored tanker noticed robbers attempting to board using a grappling hook hooked to the guardrails of the poop deck. Alarm was raised and ship,2019-01-03 00:45:00-04:00
